system,school,pool,designation_ineligible,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,targeted_support_Native,targeted_support_Asian,targeted_support_Black,targeted_support_BHN,targeted_support_ED,targeted_support_EL,targeted_support_Hispanic,targeted_support_HPI,targeted_support_SWD,targeted_support_White,targeted_support_subgroups,targeted_support,final_average
10,2,HS,0,2.5999999999999996,3.6,4,4,4,,,,,,0,,,,0,0,0,0,3.4
10,5,K8,0,4,3.4,3.4,,,,,,,,0,,,,,0,0,0,3.7
10,10,K8,0,2,3.8,4,,,,,,,,0,,,,,0,0,0,2.9
10,15,K8,0,2,2.7333333333333334,4,,,,,,,,0,,,,0,0,0,0,2.5
10,20,K8,0,1.7333333333333334,0.5333333333333333,2.4000000000000004,,,,,,0,0,0,,,,1,1,2,1,1.3
10,25,HS,0,2.8666666666666663,1.7333333333333334,4,3.8,1.7999999999999998,,,,,,0,,,,0,0,0,0,2.5
10,35,K8,0,2,1.4,4,,,,,,,,,,,,,0,0,0,2
10,40,K8,0,3.8,3.6,3.8,,,,,,,,0,,,,0,0,0,0,3.7
10,46,K8,0,3.6,3.6,4,,,,,,,,0,,,,,0,0,0,3.6
10,50,K8,0,2.8,2.2,3.4,,,,,,,,0,,,,0,0,0,0,2.6
10,55,K8,0,1.8,4,4,,,,,,,,0,,,,0,0,0,0,2.9
10,70,K8,0,4,2,4,,,,,,,,,,,,,0,0,0,3.2
10,75,K8,0,2.5999999999999996,3.8666666666666667,3.4,,,,,,,,0,,,,0,0,0,0,3.2
10,80,K8,0,2,2.8,3.6,,,,,,,,0,,,,,0,0,0,2.5
10,85,K8,0,2.8,3.7333333333333334,3.6,,,,,,,,0,,,,0,0,0,0,3.3
11,5,K8,0,3.2,2.8666666666666663,3,,,,,,,0,0,,,,0,0,0,0,3
11,10,K8,0,2,2,2.4000000000000004,,,,,,,,0,,,,,0,0,0,2
11,15,K8,0,3.2,2,4,,,,,,,,0,,,,,0,0,0,2.8
