system,system_name,school,school_name,pool,subgroup,achievement_score,achievement_base_weighting,chronic_absenteeism_score,chronic_absenteeism_base_weighting,elpa_growth_standard_score,elpa_growth_standard_base_weighting,graduation_rate_score,graduation_rate_base_weighting,growth_score,growth_base_weighting,ready_graduates_score,ready_graduates_base_weighting,f_elpa_weight,f_achievement_weight,f_growth_weight,f_ready_grad_weight,f_grad_weight,f_chronic_absent_weight,total_weight,final_score
10,Anderson County,2,Anderson County High School,HS,All Students,3,0.3,4,0.1,NA,0.1,4,0.05,4,0.25,4,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,3.7
10,Anderson County,2,Anderson County High School,HS,Black/Hispanic/Native American,NA,0.3,NA,0.1,NA,0.1,NA,0.05,NA,0.25,NA,0.2,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,2,Anderson County High School,HS,Economically Disadvantaged,2,0.3,4,0.1,NA,0.1,4,0.05,4,0.25,4,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,3.3
10,Anderson County,2,Anderson County High School,HS,English Learners with Transitional 1-4,NA,0.3,NA,0.1,NA,0.1,NA,0.05,NA,0.25,NA,0.2,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,2,Anderson County High School,HS,Students with Disabilities,2,0.3,4,0.1,NA,0.1,4,0.05,2,0.25,4,0.2,0,0.35,0.3,0.2,0.05,0.1,0.9999999999999999,2.7
10,Anderson County,2,Anderson County High School,HS,Super Subgroup,2,0.3,NA,0.1,NA,0.1,NA,0.05,3,0.25,3,0.2,0,0.41,0.35,0.24,0,0,0.8499999999999999,2.6
10,Anderson County,5,Andersonville Elementary,K8,All Students,4,0.45,4,0.1,NA,0.1,NA,NA,4,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,4
10,Anderson County,5,Andersonville Elementary,K8,Black/Hispanic/Native American,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10,Anderson County,5,Andersonville Elementary,K8,Economically Disadvantaged,4,0.45,4,0.1,NA,0.1,NA,NA,3,0.35,NA,NA,0,0.5,0.4,NA,NA,0.1,0.9999999999999999,3.6
10,Anderson County,5,Andersonville Elementary,K8,English Learners with Transitional 1-4,NA,0.45,NA,0.1,NA,0.1,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
