system,system_name,school,school_name,pool,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,final_score,final_grade
10,Anderson County,2,Anderson County High School,HS,2.5999999999999996,3.6,4,4,4,NA,3.4,A
10,Anderson County,5,Andersonville Elementary,K8,4,3.4,3.4,NA,NA,NA,3.7,A
10,Anderson County,10,Briceville Elementary,K8,2,3.8,4,NA,NA,NA,2.9,B
10,Anderson County,15,Claxton Elementary,K8,2,2.7333333333333334,4,NA,NA,NA,2.5,B
10,Anderson County,20,Clinton Middle School,K8,1.7333333333333334,0.5333333333333333,2.4000000000000004,NA,NA,NA,1.3,C
10,Anderson County,25,Clinton High School,HS,2.8666666666666663,1.7333333333333334,4,3.8,1.7999999999999998,NA,2.5,B
10,Anderson County,35,Dutch Valley Elementary,K8,2,1.4,4,NA,NA,NA,2,C
10,Anderson County,40,Fairview Elementary,K8,3.8,3.6,3.8,NA,NA,NA,3.7,A
10,Anderson County,46,Grand Oaks Elementary,K8,3.6,3.6,4,NA,NA,NA,3.6,A
10,Anderson County,50,Lake City Elementary,K8,2.8,2.2,3.4,NA,NA,NA,2.6,B
10,Anderson County,55,Lake City Middle School,K8,1.8,4,4,NA,NA,NA,2.9,B
10,Anderson County,70,Norris Elementary,K8,4,2,4,NA,NA,NA,3.2,A
10,Anderson County,75,Norris Middle School,K8,2.5999999999999996,3.8666666666666667,3.4,NA,NA,NA,3.2,A
10,Anderson County,80,Norwood Elementary,K8,2,2.8,3.6,NA,NA,NA,2.5,B
10,Anderson County,85,Norwood Middle School,K8,2.8,3.7333333333333334,3.6,NA,NA,NA,3.3,A
11,Clinton,5,Clinton Elementary,K8,3.6,2.8666666666666663,3,NA,NA,NA,3.2,A
11,Clinton,10,North Clinton Elementary,K8,2,2,2.4000000000000004,NA,NA,NA,2,C
11,Clinton,15,South Clinton Elementary,K8,3.2,2,4,NA,NA,NA,2.8,B
12,Oak Ridge,15,Glenwood Elementary,K8,3.4,3.8666666666666667,3.8666666666666667,NA,NA,NA,3.6,A
12,Oak Ridge,25,Jefferson Middle School,K8,3,3.5,2.2666666666666666,NA,NA,NA,3.1,A
12,Oak Ridge,30,Linden Elementary,K8,3,2.5999999999999996,3.1333333333333333,NA,NA,NA,2.9,B
12,Oak Ridge,35,Oak Ridge High School,HS,2.7333333333333334,3.2,4,1.6,3.3333333333333335,1,2.9,B
12,Oak Ridge,40,Robertsville Middle School,K8,2.466666666666667,3.7,2.1333333333333333,NA,NA,1,2.7,B
