system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
10,Anderson County,2,Anderson County High School,HS,Achievement,3,NA,2,NA,2,2,2.6
10,Anderson County,2,Anderson County High School,HS,Growth,4,NA,4,NA,3,2,3.6
10,Anderson County,2,Anderson County High School,HS,Chronic Absenteeism,4,NA,4,NA,NA,4,4
10,Anderson County,2,Anderson County High School,HS,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,2,Anderson County High School,HS,Graduation Rate,4,NA,4,NA,NA,4,4
10,Anderson County,2,Anderson County High School,HS,Ready Graduate,4,NA,4,NA,3,4,4
10,Anderson County,2,Anderson County High School,HS,Weighted Subgroup Score,3.7,NA,3.3,NA,2.6,2.7, 
10,Anderson County,5,Andersonville Elementary,K8,Achievement,4,NA,4,NA,4,NA,4
10,Anderson County,5,Andersonville Elementary,K8,Growth,4,NA,3,NA,4,2,3.4
10,Anderson County,5,Andersonville Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,1,3.4
10,Anderson County,5,Andersonville Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,5,Andersonville Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,5,Andersonville Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,5,Andersonville Elementary,K8,Weighted Subgroup Score,4,NA,3.6,NA,4,1.8, 
10,Anderson County,10,Briceville Elementary,K8,Achievement,2,NA,2,NA,2,NA,2
10,Anderson County,10,Briceville Elementary,K8,Growth,4,NA,3,NA,3,4,3.8
10,Anderson County,10,Briceville Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,4,4
10,Anderson County,10,Briceville Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,10,Briceville Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,10,Briceville Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
